id,nombre,apellido,email,sexo,dimensions,requirements,longitude,latitude
11,Raynor,Norfolk,rnorfolka@com.com,Male,"[{""name"":""Fuerza"",""score"":9},{""name"":""Destreza"",""score"":6},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":9}]","[{""name"":""linterna"",""score"":7},{""name"":""botas"",""score"":8},{""name"":""cuerda"",""score"":1}]",-69.6683846033383,-19.5131073424502
12,Aurel,Greenier,agreenierb@engadget.com,Female,"[{""name"":""Fuerza"",""score"":1},{""name"":""Destreza"",""score"":2},{""name"":""Liderazgo"",""score"":5},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":2}]","[{""name"":""linterna"",""score"":1},{""name"":""botas"",""score"":5},{""name"":""cuerda"",""score"":9},{""name"":""pala"",""score"":3},{""name"":""alta estatura"",""score"":5}]",-69.7401575365727,-19.386367948247
13,Francois,Cardwell,fcardwellc@unesco.org,Male,"[{""name"":""Fuerza"",""score"":7},{""name"":""Destreza"",""score"":6},{""name"":""Liderazgo"",""score"":7},{""name"":""Motivacion"",""score"":2},{""name"":""Conocimiento"",""score"":6}]","[{""name"":""linterna"",""score"":1},{""name"":""botas"",""score"":3},{""name"":""cuerda"",""score"":10},{""name"":""pala"",""score"":4},{""name"":""alta estatura"",""score"":5}]",-68.7097403801537,-19.1956609585068
14,Elnore,Garrud,egarrudd@cbslocal.com,Female,"[{""name"":""Fuerza"",""score"":2},{""name"":""Destreza"",""score"":2},{""name"":""Liderazgo"",""score"":6},{""name"":""Motivacion"",""score"":10},{""name"":""Conocimiento"",""score"":7}]","[{""name"":""linterna"",""score"":8},{""name"":""botas"",""score"":9},{""name"":""cuerda"",""score"":9},{""name"":""pala"",""score"":6},{""name"":""alta estatura"",""score"":2},{""name"":""guantes"",""score"":3},{""name"":""primeros auxilios"",""score"":3}]",-69.0163043091261,-19.4522662204213
15,Chrissy,Proudlove,cproudlovee@dailymail.co.uk,Male,"[{""name"":""Fuerza"",""score"":10},{""name"":""Destreza"",""score"":5},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":5},{""name"":""Conocimiento"",""score"":7}]","[{""name"":""linterna"",""score"":7},{""name"":""botas"",""score"":1},{""name"":""cuerda"",""score"":1},{""name"":""pala"",""score"":5},{""name"":""alta estatura"",""score"":1},{""name"":""guantes"",""score"":4},{""name"":""primeros auxilios"",""score"":5},{""name"":""condicion fisica"",""score"":3},{""name"":""casco"",""score"":8}]",-69.2305527490517,-19.0980108657135
16,Caro,Fattorini,cfattorinif@nifty.com,Female,"[{""name"":""Fuerza"",""score"":1},{""name"":""Destreza"",""score"":4},{""name"":""Liderazgo"",""score"":10},{""name"":""Motivacion"",""score"":5},{""name"":""Conocimiento"",""score"":1}]","[{""name"":""linterna"",""score"":2},{""name"":""botas"",""score"":3},{""name"":""cuerda"",""score"":1},{""name"":""pala"",""score"":6},{""name"":""alta estatura"",""score"":5}]",-69.427524195797,-19.0999387952177
17,Caz,Boyson,cboysong@exblog.jp,Male,"[{""name"":""Fuerza"",""score"":1},{""name"":""Destreza"",""score"":1},{""name"":""Liderazgo"",""score"":8},{""name"":""Motivacion"",""score"":3},{""name"":""Conocimiento"",""score"":4}]","[{""name"":""linterna"",""score"":3},{""name"":""botas"",""score"":1},{""name"":""cuerda"",""score"":1},{""name"":""pala"",""score"":4},{""name"":""alta estatura"",""score"":6},{""name"":""guantes"",""score"":7},{""name"":""primeros auxilios"",""score"":1},{""name"":""condicion fisica"",""score"":6},{""name"":""casco"",""score"":3}]",-69.68352832699,-20.0269551193681
18,Laurens,Marikhin,lmarikhinh@studiopress.com,Male,"[{""name"":""Fuerza"",""score"":3},{""name"":""Destreza"",""score"":5},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":1},{""name"":""Conocimiento"",""score"":5}]","[{""name"":""linterna"",""score"":7},{""name"":""botas"",""score"":3},{""name"":""cuerda"",""score"":6}]",-69.4232945423808,-19.7315089568983
19,Merell,Loxdale,mloxdalei@dell.com,Male,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":1},{""name"":""Liderazgo"",""score"":3},{""name"":""Motivacion"",""score"":6},{""name"":""Conocimiento"",""score"":5}]","[{""name"":""linterna"",""score"":1},{""name"":""botas"",""score"":8},{""name"":""cuerda"",""score"":6},{""name"":""pala"",""score"":1},{""name"":""alta estatura"",""score"":7},{""name"":""guantes"",""score"":2},{""name"":""primeros auxilios"",""score"":2}]",-68.949415201192,-20.362749385906
20,Cristobal,Fritchley,cfritchleyj@adobe.com,Male,"[{""name"":""Fuerza"",""score"":9},{""name"":""Destreza"",""score"":3},{""name"":""Liderazgo"",""score"":5},{""name"":""Motivacion"",""score"":5},{""name"":""Conocimiento"",""score"":5}]","[{""name"":""linterna"",""score"":5}]",-68.8919487183593,-19.7992383388781
21,Donna,Hercock,dhercockk@privacy.gov.au,Female,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":8},{""name"":""Motivacion"",""score"":6},{""name"":""Conocimiento"",""score"":3}]","[{""name"":""linterna"",""score"":7},{""name"":""botas"",""score"":1}]",-69.110014059482,-20.7102875974606
22,Patrizius,Rosbottom,prosbottoml@hc360.com,Male,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":4},{""name"":""Liderazgo"",""score"":10},{""name"":""Motivacion"",""score"":1},{""name"":""Conocimiento"",""score"":3}]","[{""name"":""linterna"",""score"":1},{""name"":""botas"",""score"":5},{""name"":""cuerda"",""score"":7},{""name"":""pala"",""score"":10},{""name"":""alta estatura"",""score"":6},{""name"":""guantes"",""score"":2},{""name"":""primeros auxilios"",""score"":7},{""name"":""condicion fisica"",""score"":1},{""name"":""casco"",""score"":2}]",-68.6369809234678,-24.4779667614752
23,Desiree,Breslin,dbreslinm@php.net,Female,"[{""name"":""Fuerza"",""score"":6},{""name"":""Destreza"",""score"":2},{""name"":""Liderazgo"",""score"":9},{""name"":""Motivacion"",""score"":10},{""name"":""Conocimiento"",""score"":9}]","[{""name"":""linterna"",""score"":4},{""name"":""botas"",""score"":3},{""name"":""cuerda"",""score"":2},{""name"":""pala"",""score"":5},{""name"":""alta estatura"",""score"":7},{""name"":""guantes"",""score"":9},{""name"":""primeros auxilios"",""score"":4}]",-69.2075717339944,-24.1457741657959
24,Web,Blare,wblaren@tumblr.com,Male,"[{""name"":""Fuerza"",""score"":9},{""name"":""Destreza"",""score"":7},{""name"":""Liderazgo"",""score"":2},{""name"":""Motivacion"",""score"":1},{""name"":""Conocimiento"",""score"":4}]","[{""name"":""linterna"",""score"":8},{""name"":""botas"",""score"":10}]",-68.9472066476778,-24.4885388941631
25,Bernard,Thundercliffe,bthundercliffeo@altervista.org,Male,"[{""name"":""Fuerza"",""score"":6},{""name"":""Destreza"",""score"":7},{""name"":""Liderazgo"",""score"":10},{""name"":""Motivacion"",""score"":8},{""name"":""Conocimiento"",""score"":2}]","[{""name"":""linterna"",""score"":8},{""name"":""botas"",""score"":8}]",-70.3292576802984,-23.1651770011915
26,Jannel,Gregore,jgregorep@opensource.org,Female,"[{""name"":""Fuerza"",""score"":6},{""name"":""Destreza"",""score"":2},{""name"":""Liderazgo"",""score"":8},{""name"":""Motivacion"",""score"":8},{""name"":""Conocimiento"",""score"":2}]","[{""name"":""linterna"",""score"":5},{""name"":""botas"",""score"":10},{""name"":""cuerda"",""score"":4},{""name"":""pala"",""score"":7},{""name"":""alta estatura"",""score"":7},{""name"":""guantes"",""score"":9}]",-70.5619109407542,-23.2555536971722
27,Anett,Pasque,apasqueq@parallels.com,Female,"[{""name"":""Fuerza"",""score"":7},{""name"":""Destreza"",""score"":8},{""name"":""Liderazgo"",""score"":8},{""name"":""Motivacion"",""score"":7},{""name"":""Conocimiento"",""score"":5}]","[{""name"":""linterna"",""score"":9},{""name"":""botas"",""score"":2},{""name"":""cuerda"",""score"":1},{""name"":""pala"",""score"":7},{""name"":""alta estatura"",""score"":8}]",-70.4014054815132,-23.2473158204884
28,Sancho,Miskelly,smiskellyr@springer.com,Male,"[{""name"":""Fuerza"",""score"":3},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":10},{""name"":""Conocimiento"",""score"":8}]","[{""name"":""linterna"",""score"":2}]",-68.7969000936182,-23.7125577465375
29,Che,Harriot,charriots@ning.com,Male,"[{""name"":""Fuerza"",""score"":1},{""name"":""Destreza"",""score"":6},{""name"":""Liderazgo"",""score"":2},{""name"":""Motivacion"",""score"":2},{""name"":""Conocimiento"",""score"":9}]","[{""name"":""linterna"",""score"":6},{""name"":""botas"",""score"":7},{""name"":""cuerda"",""score"":8},{""name"":""pala"",""score"":4},{""name"":""alta estatura"",""score"":4},{""name"":""guantes"",""score"":7},{""name"":""primeros auxilios"",""score"":1},{""name"":""condicion fisica"",""score"":3}]",-69.8237005144221,-23.2530516275966
30,Matthieu,Hyatt,mhyattt@springer.com,Male,"[{""name"":""Fuerza"",""score"":1},{""name"":""Destreza"",""score"":3},{""name"":""Liderazgo"",""score"":2},{""name"":""Motivacion"",""score"":3},{""name"":""Conocimiento"",""score"":8}]","[{""name"":""linterna"",""score"":4},{""name"":""botas"",""score"":8}]",-69.7163085909228,-23.497799878712
31,Pascale,Honsch,phonschu@trellian.com,Male,"[{""name"":""Fuerza"",""score"":8},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":8},{""name"":""Conocimiento"",""score"":7}]","[{""name"":""linterna"",""score"":4}]",-70.4281627433775,-24.7744281688381
32,Gian,Dancey,gdanceyv@g.co,Male,"[{""name"":""Fuerza"",""score"":3},{""name"":""Destreza"",""score"":2},{""name"":""Liderazgo"",""score"":6},{""name"":""Motivacion"",""score"":5},{""name"":""Conocimiento"",""score"":10}]","[{""name"":""linterna"",""score"":6},{""name"":""botas"",""score"":1}]",-69.3316019891895,-25.5413769782575
33,Mathilda,Keir,mkeirw@fda.gov,Female,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":6},{""name"":""Motivacion"",""score"":1},{""name"":""Conocimiento"",""score"":3}]","[{""name"":""linterna"",""score"":9},{""name"":""botas"",""score"":4},{""name"":""cuerda"",""score"":4},{""name"":""pala"",""score"":7},{""name"":""alta estatura"",""score"":4},{""name"":""guantes"",""score"":1},{""name"":""primeros auxilios"",""score"":10},{""name"":""condicion fisica"",""score"":6}]",-69.582854767561,-25.8200925964353
34,Tadeo,Rickeard,trickeardx@1688.com,Male,"[{""name"":""Fuerza"",""score"":2},{""name"":""Destreza"",""score"":1},{""name"":""Liderazgo"",""score"":9},{""name"":""Motivacion"",""score"":3},{""name"":""Conocimiento"",""score"":2}]","[{""name"":""linterna"",""score"":4},{""name"":""botas"",""score"":6}]",-68.6145003006199,-22.8589573973749
35,Emmie,Guion,eguiony@oakley.com,Female,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":5},{""name"":""Motivacion"",""score"":10},{""name"":""Conocimiento"",""score"":8}]","[{""name"":""linterna"",""score"":8}]",-68.8805471802391,-22.4678806215027
36,Andrus,Toffano,atoffanoz@prnewswire.com,Male,"[{""name"":""Fuerza"",""score"":7},{""name"":""Destreza"",""score"":9},{""name"":""Liderazgo"",""score"":6},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":8}]","[{""name"":""linterna"",""score"":1},{""name"":""botas"",""score"":4}]",-68.1174051922343,-22.201620542571
37,Woodrow,Helder,whelder10@tumblr.com,Male,"[{""name"":""Fuerza"",""score"":10},{""name"":""Destreza"",""score"":1},{""name"":""Liderazgo"",""score"":2},{""name"":""Motivacion"",""score"":4},{""name"":""Conocimiento"",""score"":10}]","[{""name"":""linterna"",""score"":1},{""name"":""botas"",""score"":6},{""name"":""cuerda"",""score"":5},{""name"":""pala"",""score"":3},{""name"":""alta estatura"",""score"":6}]",-68.2469949414393,-21.6128283056011
38,Isahella,Spyer,ispyer11@odnoklassniki.ru,Female,"[{""name"":""Fuerza"",""score"":4},{""name"":""Destreza"",""score"":4},{""name"":""Liderazgo"",""score"":5},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":3}]","[{""name"":""linterna"",""score"":8},{""name"":""botas"",""score"":2},{""name"":""cuerda"",""score"":4},{""name"":""pala"",""score"":7},{""name"":""alta estatura"",""score"":1},{""name"":""guantes"",""score"":5},{""name"":""primeros auxilios"",""score"":4},{""name"":""condicion fisica"",""score"":8},{""name"":""casco"",""score"":9}]",-68.414662754525,-21.211295483246
39,Mercedes,Garraway,mgarraway12@slideshare.net,Female,"[{""name"":""Fuerza"",""score"":1},{""name"":""Destreza"",""score"":1},{""name"":""Liderazgo"",""score"":4},{""name"":""Motivacion"",""score"":7},{""name"":""Conocimiento"",""score"":9}]","[{""name"":""linterna"",""score"":8},{""name"":""botas"",""score"":3},{""name"":""cuerda"",""score"":7},{""name"":""pala"",""score"":8},{""name"":""alta estatura"",""score"":2},{""name"":""guantes"",""score"":8},{""name"":""primeros auxilios"",""score"":5}]",-68.4355774226473,-21.1337044013426
40,Julissa,Zum Felde,jzumfelde13@usnews.com,Female,"[{""name"":""Fuerza"",""score"":10},{""name"":""Destreza"",""score"":4},{""name"":""Liderazgo"",""score"":5},{""name"":""Motivacion"",""score"":1},{""name"":""Conocimiento"",""score"":2}]","[{""name"":""linterna"",""score"":7},{""name"":""botas"",""score"":3},{""name"":""cuerda"",""score"":5}]",-68.576381804582,-23.9324063403791
41,Kip,Sanbrook,ksanbrook14@blogger.com,Male,"[{""name"":""Fuerza"",""score"":10},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":5},{""name"":""Conocimiento"",""score"":2}]","[{""name"":""linterna"",""score"":4},{""name"":""botas"",""score"":1},{""name"":""cuerda"",""score"":8},{""name"":""pala"",""score"":3},{""name"":""alta estatura"",""score"":8}]",-68.4161068800199,-23.7336438872615
42,Con,Pyne,cpyne15@ebay.com,Female,"[{""name"":""Fuerza"",""score"":3},{""name"":""Destreza"",""score"":5},{""name"":""Liderazgo"",""score"":2},{""name"":""Motivacion"",""score"":10},{""name"":""Conocimiento"",""score"":1}]","[{""name"":""linterna"",""score"":1}]",-67.7019931914282,-23.2865509443928
43,Donica,Hullah,dhullah16@tiny.cc,Female,"[{""name"":""Fuerza"",""score"":6},{""name"":""Destreza"",""score"":1},{""name"":""Liderazgo"",""score"":7},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":1}]","[{""name"":""linterna"",""score"":6},{""name"":""botas"",""score"":4},{""name"":""cuerda"",""score"":10},{""name"":""pala"",""score"":6},{""name"":""alta estatura"",""score"":8},{""name"":""guantes"",""score"":5},{""name"":""primeros auxilios"",""score"":10},{""name"":""condicion fisica"",""score"":2},{""name"":""casco"",""score"":1}]",-69.8260058598543,-22.1069545671773
44,Jeane,Thurlbeck,jthurlbeck17@washington.edu,Female,"[{""name"":""Fuerza"",""score"":10},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":6},{""name"":""Motivacion"",""score"":10},{""name"":""Conocimiento"",""score"":1}]","[{""name"":""linterna"",""score"":8},{""name"":""botas"",""score"":9},{""name"":""cuerda"",""score"":8},{""name"":""pala"",""score"":8},{""name"":""alta estatura"",""score"":8},{""name"":""guantes"",""score"":9}]",-70.1164553135353,-21.8340077291513
45,Elmo,Wilcocke,ewilcocke18@g.co,Male,"[{""name"":""Fuerza"",""score"":9},{""name"":""Destreza"",""score"":2},{""name"":""Liderazgo"",""score"":10},{""name"":""Motivacion"",""score"":8},{""name"":""Conocimiento"",""score"":5}]","[{""name"":""linterna"",""score"":10},{""name"":""botas"",""score"":2},{""name"":""cuerda"",""score"":4},{""name"":""pala"",""score"":6},{""name"":""alta estatura"",""score"":4},{""name"":""guantes"",""score"":10},{""name"":""primeros auxilios"",""score"":2},{""name"":""condicion fisica"",""score"":4}]",-69.9627973542466,-21.516342465473
46,Haily,Meenan,hmeenan19@ft.com,Male,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":4},{""name"":""Liderazgo"",""score"":10},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":8}]","[{""name"":""linterna"",""score"":4},{""name"":""botas"",""score"":8},{""name"":""cuerda"",""score"":1}]",-69.2168311709768,-22.1924369688486
47,Carilyn,McRill,cmcrill1a@ucoz.com,Female,"[{""name"":""Fuerza"",""score"":10},{""name"":""Destreza"",""score"":5},{""name"":""Liderazgo"",""score"":7},{""name"":""Motivacion"",""score"":10},{""name"":""Conocimiento"",""score"":4}]","[{""name"":""linterna"",""score"":4},{""name"":""botas"",""score"":5},{""name"":""cuerda"",""score"":3},{""name"":""pala"",""score"":7},{""name"":""alta estatura"",""score"":1},{""name"":""guantes"",""score"":6},{""name"":""primeros auxilios"",""score"":10},{""name"":""condicion fisica"",""score"":1},{""name"":""casco"",""score"":2}]",-69.0612156321132,-21.3457060629967
48,Marena,Kynman,mkynman1b@senate.gov,Female,"[{""name"":""Fuerza"",""score"":8},{""name"":""Destreza"",""score"":5},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":6},{""name"":""Conocimiento"",""score"":8}]","[{""name"":""linterna"",""score"":9},{""name"":""botas"",""score"":5}]",-69.6601076508468,-21.7441618731293
49,Maxie,Sigward,msigward1c@slashdot.org,Male,"[{""name"":""Fuerza"",""score"":6},{""name"":""Destreza"",""score"":8},{""name"":""Liderazgo"",""score"":3},{""name"":""Motivacion"",""score"":4},{""name"":""Conocimiento"",""score"":9}]","[{""name"":""linterna"",""score"":10},{""name"":""botas"",""score"":10},{""name"":""cuerda"",""score"":7}]",-70.3296843832543,-27.4585968942084
50,Esther,Penhaligon,epenhaligon1d@addtoany.com,Female,"[{""name"":""Fuerza"",""score"":4},{""name"":""Destreza"",""score"":9},{""name"":""Liderazgo"",""score"":6},{""name"":""Motivacion"",""score"":7},{""name"":""Conocimiento"",""score"":6}]","[{""name"":""linterna"",""score"":8},{""name"":""botas"",""score"":9},{""name"":""cuerda"",""score"":4}]",-69.0177482693851,-26.9161928976156
51,Cord,Hirtz,chirtz1e@homestead.com,Male,"[{""name"":""Fuerza"",""score"":6},{""name"":""Destreza"",""score"":7},{""name"":""Liderazgo"",""score"":9},{""name"":""Motivacion"",""score"":8},{""name"":""Conocimiento"",""score"":2}]","[{""name"":""linterna"",""score"":10},{""name"":""botas"",""score"":3},{""name"":""cuerda"",""score"":5},{""name"":""pala"",""score"":2},{""name"":""alta estatura"",""score"":9},{""name"":""guantes"",""score"":7},{""name"":""primeros auxilios"",""score"":8},{""name"":""condicion fisica"",""score"":2},{""name"":""casco"",""score"":2}]",-68.9820545877913,-27.1908597595752
52,Clive,Dawe,cdawe1f@odnoklassniki.ru,Male,"[{""name"":""Fuerza"",""score"":10},{""name"":""Destreza"",""score"":4},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":7},{""name"":""Conocimiento"",""score"":7}]","[{""name"":""linterna"",""score"":1},{""name"":""botas"",""score"":7},{""name"":""cuerda"",""score"":4}]",-70.6186124819186,-27.0324034351545
53,Bordy,Lintott,blintott1g@google.es,Male,"[{""name"":""Fuerza"",""score"":4},{""name"":""Destreza"",""score"":1},{""name"":""Liderazgo"",""score"":9},{""name"":""Motivacion"",""score"":7},{""name"":""Conocimiento"",""score"":3}]","[{""name"":""linterna"",""score"":6},{""name"":""botas"",""score"":6},{""name"":""cuerda"",""score"":10},{""name"":""pala"",""score"":10},{""name"":""alta estatura"",""score"":8},{""name"":""guantes"",""score"":4},{""name"":""primeros auxilios"",""score"":7},{""name"":""condicion fisica"",""score"":10},{""name"":""casco"",""score"":6}]",-70.8879179121996,-27.3335105575575
54,Marlene,Habbijam,mhabbijam1h@furl.net,Female,"[{""name"":""Fuerza"",""score"":10},{""name"":""Destreza"",""score"":4},{""name"":""Liderazgo"",""score"":7},{""name"":""Motivacion"",""score"":2},{""name"":""Conocimiento"",""score"":4}]","[{""name"":""linterna"",""score"":3},{""name"":""botas"",""score"":9},{""name"":""cuerda"",""score"":2},{""name"":""pala"",""score"":4},{""name"":""alta estatura"",""score"":3},{""name"":""guantes"",""score"":6},{""name"":""primeros auxilios"",""score"":4},{""name"":""condicion fisica"",""score"":5}]",-70.8635469872722,-27.2455799852115
55,Freida,Outhwaite,fouthwaite1i@fema.gov,Female,"[{""name"":""Fuerza"",""score"":6},{""name"":""Destreza"",""score"":6},{""name"":""Liderazgo"",""score"":8},{""name"":""Motivacion"",""score"":3},{""name"":""Conocimiento"",""score"":3}]","[{""name"":""linterna"",""score"":9},{""name"":""botas"",""score"":10},{""name"":""cuerda"",""score"":10},{""name"":""pala"",""score"":4},{""name"":""alta estatura"",""score"":3}]",-69.0630536838495,-27.6140537617791
56,Rosamund,Outright,routright1j@cocolog-nifty.com,Female,"[{""name"":""Fuerza"",""score"":3},{""name"":""Destreza"",""score"":8},{""name"":""Liderazgo"",""score"":3},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":2}]","[{""name"":""linterna"",""score"":7},{""name"":""botas"",""score"":1},{""name"":""cuerda"",""score"":3},{""name"":""pala"",""score"":9},{""name"":""alta estatura"",""score"":5},{""name"":""guantes"",""score"":6},{""name"":""primeros auxilios"",""score"":6},{""name"":""condicion fisica"",""score"":10},{""name"":""casco"",""score"":8}]",-69.6417383027048,-27.8143991873273
57,Annalise,Prantl,aprantl1k@google.com.au,Female,"[{""name"":""Fuerza"",""score"":1},{""name"":""Destreza"",""score"":4},{""name"":""Liderazgo"",""score"":8},{""name"":""Motivacion"",""score"":3},{""name"":""Conocimiento"",""score"":4}]","[{""name"":""linterna"",""score"":6},{""name"":""botas"",""score"":7},{""name"":""cuerda"",""score"":2},{""name"":""pala"",""score"":9},{""name"":""alta estatura"",""score"":10},{""name"":""guantes"",""score"":4},{""name"":""primeros auxilios"",""score"":5},{""name"":""condicion fisica"",""score"":2}]",-70.2799500885564,-27.6602359175484
58,Natalya,Dodswell,ndodswell1l@naver.com,Female,"[{""name"":""Fuerza"",""score"":6},{""name"":""Destreza"",""score"":8},{""name"":""Liderazgo"",""score"":7},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":7}]","[{""name"":""linterna"",""score"":9},{""name"":""botas"",""score"":8},{""name"":""cuerda"",""score"":8},{""name"":""pala"",""score"":4}]",-70.2865426123207,-26.233351913348
